eps1         u            sigma3       sigma3'       sigma1        sigma1'       p             q
[%]         [kPa]         [kPa]        [kPa]         [kPa]         [kPa]         [kPa]         [kPa] 

0.1536      244.8060      299.8198      55.0138      348.0210      103.2150      71.0809      48.2012
0.1546      244.8790      299.8561      54.9771      348.0230      103.1440      71.0327      48.1669
0.1546      244.9530      299.8658      54.9128      348.0760      103.1230      70.9829      48.2102
0.1556      245.1000      299.8107      54.7107      348.1390      103.0390      70.8201      48.3283
0.1566      245.2030      299.8750      54.6720      348.2140      103.0110      70.7850      48.3390
0.1566      245.2940      299.9017      54.6077      348.2800      102.9860      70.7338      48.3783
0.1576      245.3970      299.8191      54.4221      348.3240      102.9270      70.5904      48.5049
0.1586      245.4670      299.8744      54.4074      348.3330      102.8660      70.5603      48.4586
0.1586      245.5480      299.8194      54.2714      348.4480      102.9000      70.4809      48.6286
0.1596      245.6620      299.9205      54.2585      348.4830      102.8210      70.4460      48.5625
0.1606      245.7580      299.8383      54.0803      348.5300      102.7720      70.3109      48.6917
0.1606      245.8490      299.8741      54.0251      348.5390      102.6900      70.2467      48.6649
0.1616      245.9630      299.8926      53.9296      348.5820      102.6190      70.1594      48.6894
0.1616      246.0590      299.7186      53.6596      348.7020      102.6430      69.9874      48.9834
0.1626      246.1510      299.9482      53.7972      348.7190      102.5680      70.0541      48.7708
0.1636      246.2280      299.8471      53.6191      348.7890      102.5610      69.9331      48.9419
0.1646      246.3380      299.8468      53.5088      348.7910      102.4530      69.8235      48.9442
0.1646      246.4340      299.8840      53.4500      348.8120      102.3780      69.7593      48.9280
0.1656      246.5000      299.8838      53.3838      348.9060      102.4060      69.7245      49.0222
0.1656      246.6250      299.7828      53.1578      348.9660      102.3410      69.5522      49.1832
0.1666      246.6760      299.8558      53.1798      349.0210      102.3450      69.5682      49.1652
0.1676      246.7870      299.8198      53.0328      349.0220      102.2350      69.4335      49.2022
0.1676      246.9040      299.8376      52.9336      349.0540      102.1500      69.3391      49.2164
0.1686      246.9450      299.8106      52.8656      349.1180      102.1730      69.3014      49.3074
0.1696      247.0550      299.8379      52.7829      349.1950      102.1400      69.2353      49.3571
0.1696      247.0880      299.7919      52.7039      349.2420      102.1540      69.1873      49.4501
0.1706      247.2350      299.8562      52.6212      349.2920      102.0570      69.0998      49.4358
0.1716      247.3120      299.8009      52.4889      349.2860      101.9740      68.9839      49.4851
0.1726      247.3970      299.9299      52.5329      349.3470      101.9500      69.0053      49.4171
0.1726      247.4920      299.8284      52.3364      349.4500      101.9580      68.8769      49.6216
0.1735      247.5510      299.8561      52.3051      349.4290      101.8780      68.8294      49.5729
0.1745      247.6430      299.8929      52.2499      349.4790      101.8360      68.7786      49.5861
0.1745      247.7350      299.8563      52.1213      349.5380      101.8030      68.6819      49.6817
0.1755      247.8600      299.8105      51.9505      349.5990      101.7390      68.5467      49.7885
0.1765      247.9220      299.7916      51.8696      349.6460      101.7240      68.4877      49.8544
0.1765      247.9890      299.8567      51.8677      349.6650      101.6760      68.4705      49.8083
0.1775      248.0800      299.8007      51.7207      349.7410      101.6610      68.3675      49.9403
0.1785      248.1430      299.8288      51.6858      349.7530      101.6100      68.3272      49.9242
0.1785      248.2240      299.8473      51.6233      349.8260      101.6020      68.2829      49.9787
0.1795      248.3380      299.8474      51.5094      349.8910      101.5530      68.1906      50.0436
0.1805      248.4300      299.8659      51.4359      349.8930      101.4630      68.1116      50.0271
0.1815      248.4920      299.9205      51.4285      349.8730      101.3810      68.0793      49.9525
0.1815      248.5990      299.8291      51.2301      349.9480      101.3490      67.9364      50.1189
0.1825      248.6720      299.9020      51.2300      350.0330      101.3610      67.9403      50.1310
0.1825      248.7380      299.8101      51.0721      350.1120      101.3740      67.8394      50.3019
0.1835      248.8450      299.8380      50.9930      350.1380      101.2930      67.7597      50.3000
0.1845      248.8960      299.7824      50.8864      350.1500      101.2540      67.6756      50.3676
0.1845      248.9740      299.8659      50.8919      350.1060      101.1320      67.6386      50.2401
