eps1          u            sigma3        sigma3'       sigma1       sigma1'       p             q
[%]          [kPa]         [kPa]         [kPa]         [kPa]        [kPa]         [kPa]         [kPa] 

-0.0990      207.6490      300.4534      92.8044      268.3170      60.6680      82.0923      -32.1364
-0.0990      207.7710      300.4357      92.6647      268.2677      60.4967      81.9420      -32.1680
-0.1000      207.8660      300.5086      92.6426      268.1964      60.3304      81.8719      -32.3122
-0.1010      207.9690      300.5179      92.5489      268.2337      60.2647      81.7875      -32.2842
-0.1020      208.1120      300.5360      92.4240      268.2762      60.1642      81.6707      -32.2598
-0.1020      208.2480      300.5084      92.2604      268.2100      59.9620      81.4943      -32.2984
-0.1030      208.3040      300.4634      92.1594      268.1338      59.8298      81.3829      -32.3296
-0.1040      208.4030      300.5090      92.1060      268.0435      59.6405      81.2842      -32.4655
-0.1040      208.5500      300.6192      92.0692      267.9578      59.4078      81.1821      -32.6614
-0.1050      208.6010      300.4627      91.8617      267.9805      59.3795      81.0343      -32.4822
-0.1060      208.7150      300.4995      91.7845      267.9975      59.2825      80.9505      -32.5020
-0.1060      208.8770      300.4263      91.5493      267.9995      59.1225      80.7404      -32.4268
-0.1070      208.9500      300.4809      91.5309      267.9251      58.9751      80.6790      -32.5558
-0.1080      209.0790      300.5822      91.5032      267.9028      58.8238      80.6101      -32.6794
-0.1090      209.1890      300.4810      91.2920      267.9209      58.7319      80.4386      -32.5601
-0.1090      209.3250      300.4810      91.1560      267.9496      58.6246      80.3122      -32.5314
-0.1100      209.4170      300.4352      91.0182      267.8981      58.4811      80.1725      -32.5371
-0.1110      209.4910      300.4816      90.9906      267.8012      58.3102      80.0971      -32.6804
-0.1110      209.5860      300.5269      90.9409      267.8087      58.2227      80.0348      -32.7182
-0.1120      209.7110      300.4811      90.7701      267.9017      58.1907      79.9103      -32.5794
-0.1130      209.8140      300.4719      90.6579      267.8603      58.0463      79.7874      -32.6116
-0.1140      209.9100      300.4632      90.5532      267.7897      57.8797      79.6620      -32.6735
-0.1140      210.0530      300.4904      90.4374      267.7328      57.6798      79.5182      -32.7576
-0.1150      210.1410      300.4994      90.3584      267.7375      57.5965      79.4378      -32.7619
-0.1160      210.2960      300.5092      90.2132      267.7175      57.4215      79.2826      -32.7917
-0.1160      210.4100      300.4450      90.0350      267.7500      57.3400      79.1367      -32.6950
-0.1170      210.5090      300.5550      90.0460      267.6818      57.1728      79.0883      -32.8732
-0.1180      210.5640      300.4538      89.8898      267.6494      57.0854      78.9550      -32.8044
-0.1180      210.7330      300.4813      89.7483      267.6539      56.9209      78.8058      -32.8274
-0.1190      210.8170      300.5359      89.7189      267.6085      56.7915      78.7431      -32.9274
-0.1200      210.8980      300.4350      89.5370      267.6919      56.7939      78.6226      -32.7431
-0.1200      211.0270      300.4445      89.4175      267.6507      56.6237      78.4862      -32.7938
-0.1210      211.1340      300.4541      89.3201      267.6487      56.5147      78.3850      -32.8054
-0.1220      211.2290      300.4812      89.2522      267.6741      56.4451      78.3165      -32.8071
-0.1220      211.3320      300.4996      89.1676      267.6737      56.3417      78.2256      -32.8259
-0.1230      211.4350      300.4630      89.0280      267.6489      56.2139      78.0900      -32.8141
-0.1230      211.5270      300.5089      88.9819      267.6138      56.0868      78.0169      -32.8951
-0.1240      211.6330      300.4809      88.8479      267.6189      55.9859      77.8939      -32.8620
-0.1250      211.7400      300.5088      88.7688      267.5983      55.8583      77.7986      -32.9105
-0.1250      211.8540      300.4262      88.5722      267.5734      55.7194      77.6213      -32.8528
-0.1260      211.9490      300.4348      88.4858      267.5668      55.6178      77.5298      -32.8680
-0.1270      212.0600      300.4815      88.4215      267.5244      55.4644      77.4358      -32.9571
-0.1270      212.1040      300.4171      88.3131      267.5025      55.3985      77.3416      -32.9146
