eps1         u            sigma3        sigma3'       sigma1        sigma1'       p             q
[%]         [kPa]         [kPa]         [kPa]         [kPa]         [kPa]         [kPa]         [kPa] 

0.1349      270.4550      400.2120      129.7570      499.4520      228.9970      162.8370      99.2400
0.1349      270.6530      400.1740      129.5210      499.6190      228.9660      162.6693      99.4450
0.1359      270.8850      400.2210      129.3360      499.8420      228.9570      162.5430      99.6210
0.1369      271.0870      400.2300      129.1430      500.1170      229.0300      162.4387      99.8870
0.1379      271.2480      400.2020      128.9540      500.3490      229.1010      162.3363      100.1470
0.1379      271.4950      400.2390      128.7440      500.5490      229.0540      162.1807      100.3100
0.1389      271.6560      400.2020      128.5460      500.8190      229.1630      162.0850      100.6170
0.1399      271.8920      400.2020      128.3100      500.9720      229.0800      161.9000      100.7700
0.1399      272.1120      400.2020      128.0900      501.3100      229.1980      161.7927      101.1080
0.1409      272.2810      400.2200      127.9390      501.4870      229.2060      161.6947      101.2670
0.1419      272.4720      400.1920      127.7200      501.6910      229.2190      161.5530      101.4990
0.1429      272.6970      400.1570      127.4600      501.9310      229.2340      161.3847      101.7740
0.1429      272.8880      400.1560      127.2680      502.1370      229.2490      161.2617      101.9810
0.1439      273.0710      400.2200      127.1490      502.3650      229.2940      161.1973      102.1450
0.1439      273.2740      400.1470      126.8730      502.5980      229.3240      161.0233      102.4510
0.1449      273.4610      400.1740      126.7130      502.8230      229.3620      160.9293      102.6490
0.1459      273.6930      400.2480      126.5550      503.0140      229.3210      160.8103      102.7660
0.1469      273.8650      400.1920      126.3270      503.2520      229.3870      160.6803      103.0600
0.1469      274.0640      400.1840      126.1200      503.4900      229.4260      160.5553      103.3060
0.1479      274.2440      400.1840      125.9400      503.6670      229.4230      160.4343      103.4830
0.1489      274.4090      400.1650      125.7560      503.9150      229.5060      160.3393      103.7500
0.1489      274.6220      400.1460      125.5240      504.0790      229.4570      160.1683      103.9330
0.1499      274.7810      400.2390      125.4580      504.2420      229.4610      160.1257      104.0030
0.1499      274.9790      400.2480      125.2690      504.4860      229.5070      160.0150      104.2380
0.1508      275.1740      400.1840      125.0100      504.6910      229.5170      159.8457      104.5070
0.1518      275.3650      400.1650      124.8000      504.9390      229.5740      159.7247      104.7740
0.1518      275.5300      400.2020      124.6720      505.1520      229.6220      159.6553      104.9500
0.1528      275.7140      400.2290      124.5150      505.3350      229.6210      159.5503      105.1060
0.1538      275.9020      400.2390      124.3370      505.5220      229.6200      159.4313      105.2830
0.1548      276.0890      400.2300      124.1410      505.7330      229.6440      159.3087      105.5030
0.1548      276.2620      400.1660      123.9040      505.9490      229.6870      159.1650      105.7830
0.1558      276.4460      400.1840      123.7380      506.1410      229.6950      159.0570      105.9570
0.1558      276.6440      400.1560      123.5120      506.3420      229.6980      158.9073      106.1860
0.1568      276.8390      400.2850      123.4460      506.4720      229.6330      158.8417      106.1870
0.1578      276.9560      400.2660      123.3100      506.7090      229.7530      158.7910      106.4430
0.1578      277.2060      400.1370      122.9310      506.9460      229.7400      158.5340      106.8090
0.1588      277.3310      400.2290      122.8980      507.1580      229.8270      158.5410      106.9290
0.1598      277.5300      400.2570      122.7270      507.3730      229.8430      158.4323      107.1160
0.1608      277.6910      400.1740      122.4830      507.5840      229.8930      158.2863      107.4100
0.1608      277.8640      400.2020      122.3380      507.7000      229.8360      158.1707      107.4980
0.1618      278.0260      400.2570      122.2310      507.9300      229.9040      158.1220      107.6730
0.1628      278.2130      400.1920      121.9790      508.1420      229.9290      157.9623      107.9500
0.1628      278.3640      400.2290      121.8650      508.2980      229.9340      157.8880      108.0690
0.1638      278.5410      400.2300      121.6890      508.4760      229.9350      157.7710      108.2460
0.1648      278.6990      400.2850      121.5860      508.6060      229.9070      157.6930      108.3210
0.1648      278.8680      400.1110      121.2430      508.9060      230.0380      157.5080      108.7950
0.1658      279.0480      400.1560      121.1080      509.0950      230.0470      157.4210      108.9390
0.1668      279.2060      400.1930      120.9870      509.2790      230.0730      157.3490      109.0860
0.1668      279.3780      400.1280      120.7500      509.5020      230.1240      157.2080      109.3740
0.1678      279.5370      400.2390      120.7020      509.6430      230.1060      157.1700      109.4040
0.1688      279.6650      400.2110      120.5460      509.8290      230.1640      157.0853      109.6180
0.1698      279.8710      400.1470      120.2760      509.9660      230.0950      156.8823      109.8190
0.1698      280.0250      400.1920      120.1670      510.1380      230.1130      156.8157      109.9460
0.1708      280.1690      400.1660      119.9970      510.2710      230.1020      156.6987      110.1050
0.1718      280.3300      400.1190      119.7890      510.5210      230.1910      156.5897      110.4020
0.1718      280.4920      400.1470      119.6550      510.7190      230.2270      156.5123      110.5720
0.1728      280.6500      400.2200      119.5700      510.9350      230.2850      156.4750      110.7150
0.1738      280.8410      400.2380      119.3970      511.0900      230.2490      156.3477      110.8520
0.1738      281.0100      400.1560      119.1460      511.3000      230.2900      156.1940      111.1440
0.1748      281.1790      400.2660      119.0870      511.4610      230.2820      156.1520      111.1950
0.1758      281.2790      400.3030      119.0240      511.6600      230.3810      156.1430      111.3570
0.1758      281.4440      400.1380      118.6940      511.8820      230.4380      155.9420      111.7440
0.1768      281.6200      400.2200      118.6000      511.9680      230.3480      155.8493      111.7480
0.1778      281.7750      400.2390      118.4640      512.0950      230.3200      155.7493      111.8560
0.1788      281.9180      400.1930      118.2750      512.3420      230.4240      155.6580      112.1490
0.1788      282.0870      400.1740      118.0870      512.5560      230.4690      155.5477      112.3820
0.1798      282.2380      400.1930      117.9550      512.7300      230.4920      155.4673      112.5370
0.1798      282.4110      400.1840      117.7730      512.8990      230.4880      155.3447      112.7150
0.1808      282.5720      400.1740      117.6020      513.0850      230.5130      155.2390      112.9110
0.1818      282.7270      400.2480      117.5210      513.2580      230.5310      155.1910      113.0100
0.1818      282.8590      400.1840      117.3250      513.4530      230.5940      155.0813      113.2690
0.1828      283.0280      400.2200      117.1920      513.5940      230.5660      154.9833      113.3740
0.1838      283.1490      400.2470      117.0980      513.7400      230.5910      154.9290      113.4930
0.1838      283.2930      400.1840      116.8910      513.8360      230.5430      154.7750      113.6520
0.1848      283.4620      400.2020      116.7400      514.0200      230.5580      154.6793      113.8180
0.1858      283.6010      400.2110      116.6100      514.2480      230.6470      154.6223      114.0370
0.1858      283.7300      400.2200      116.4900      514.4350      230.7050      154.5617      114.2150
0.1868      283.9140      400.2570      116.3430      514.5660      230.6520      154.4460      114.3090
0.1878      284.0060      400.2300      116.2240      514.6920      230.6860      154.3780      114.4620
0.1878      284.1900      400.2670      116.0770      514.9230      230.7330      154.2957      114.6560
0.1888      284.3070      400.2480      115.9410      515.1110      230.8040      154.2287      114.8630
0.1898      284.4800      400.2020      115.7220      515.2830      230.8030      154.0823      115.0810
0.1898      284.5790      400.1930      115.6140      515.4600      230.8810      154.0363      115.2670
0.1908      284.7450      400.2020      115.4570      515.5680      230.8230      153.9123      115.3660
0.1908      284.8920      400.2480      115.3560      515.7510      230.8590      153.8570      115.5030
0.1918      285.0170      400.1840      115.1670      515.9120      230.8950      153.7430      115.7280
0.1928      285.1490      400.2300      115.0810      516.0690      230.9200      153.6940      115.8390
